pixel_index,sample_n,x,y,x_nearest_sample,y_nearest_sample,line_index
0,456,-1.090452,2.01228,-1.090452,2.01228,0
1,487,-1.0897483267260335,1.7495759877418369,-1.089744,1.74804,0
2,518,-1.0890326535234807,1.4868720008356222,-1.089024,1.4838,0
3,548,-1.0883293182750196,1.2241679876318863,-1.08834,1.22796,0
4,579,-1.087613721520509,0.9614640005409983,-1.08762,0.963696,0
5,610,-1.0869103459564282,0.6987599875101767,-1.086912,0.699348,0
6,641,-1.0861950379736744,0.4360559996412691,-1.086192,0.434976,0
7,672,-1.0854917746092805,0.17335198629461387,-1.085484,0.170592,0
8,702,-1.0847765908780571,-0.08935200193856233,-1.084788,-0.0852972,0
9,733,-1.0840734514328956,-0.35205601560555955,-1.08408,-0.349728,0
10,764,-1.0833584134901981,-0.6147600042346125,-1.08336,-0.614196,0
11,795,-1.0826554092312939,-0.8774640182749761,-1.082652,-0.878676,0
12,826,-1.0819404725536175,-1.1401680071889493,-1.081932,-1.14318,0
13,856,-1.081230828159107,-1.402872007034112,-1.081236,-1.3992,0
14,887,-1.0805226591260364,-1.6655760102570676,-1.080528,-1.66368,0
15,918,-1.079808,-1.92828,-1.079808,-1.92828,0
16,962,-0.919524,-1.89492,-0.919524,-1.89492,1
17,992,-0.9202074743000671,-1.643463994976539,-0.920208,-1.64328,1
18,1022,-0.9208916405917514,-1.3920079916915256,-0.920892,-1.39176,1
19,1052,-0.9215868325831511,-1.1405520121886752,-0.921588,-1.140144,1
20,1082,-0.9222706131568814,-0.8890960082483866,-0.922272,-0.888612,1
21,1112,-0.9229544297868927,-0.6376400043744451,-0.922956,-0.637092,1
22,1142,-0.9236382832599631,-0.386184000642888,-0.92364,-0.385584,1
23,1172,-0.9243222374901293,-0.1347279971998265,-0.924324,-0.134112,1
24,1202,-0.9250071175436549,0.11672800424291616,-0.925008,0.1173444,1
25,1232,-0.925702283214767,0.36818398356106846,-0.925704,0.368784,1
26,1262,-0.926386406838375,0.6196399865928948,-0.926388,0.620196,1
27,1292,-0.9270706016887791,0.8710959893838867,-0.927072,0.871584,1
28,1322,-0.9277548309227495,1.1225519920395355,-0.927756,1.12296,1
29,1352,-0.9284389942707291,1.3740079947551642,-0.92844,1.37436,1
30,1382,-0.9291234971358968,1.6254639975639154,-0.929124,1.62564,1
31,1412,-0.929808,1.87692,-0.929808,1.87692,1
32,1456,-0.7749,1.845,-0.7749,1.845,2
33,1486,-0.7742277175985668,1.5978239835127068,-0.774228,1.59792,2
34,1516,-0.7735430956350837,1.3506479941038876,-0.773544,1.35096,2
35,1546,-0.7728589154602009,1.1034720028489315,-0.77286,1.103844,2
36,1576,-0.7721866705132729,0.8562959860526358,-0.772188,0.856752,2
37,1606,-0.7715024956130944,0.6091199952913792,-0.771504,0.609636,2
38,1636,-0.7708183906830556,0.36194400428808265,-0.77082,0.362496,2
39,1666,-0.7701463151384469,0.11476798702881195,-0.770148,0.1153464,2
40,1696,-0.7694623206872593,-0.1324080042700868,-0.769464,-0.131832,2
41,1726,-0.7687783580912668,-0.3795839956498563,-0.76878,-0.37902,2
42,1756,-0.7680952478294955,-0.6267599889661261,-0.768096,-0.626244,2
43,1786,-0.7674226705384762,-0.8739360053026322,-0.767424,-0.87348,2
44,1816,-0.7667388821042509,-1.121111997189793,-0.76674,-1.120728,2
45,1846,-0.7660551652492003,-1.3682879890259063,-0.766056,-1.368,2
46,1876,-0.7653835825867932,-1.615464007556342,-0.765384,-1.61532,2
47,1906,-0.7647,-1.86264,-0.7647,-1.86264,2
48,1950,-0.61506,-1.83144,-0.61506,-1.83144,3
49,1980,-0.6157314117841717,-1.5883999933816184,-0.615732,-1.5882,3
50,2010,-0.616403176507606,-1.345359987413958,-0.616404,-1.34508,3
51,2040,-0.6170754674818473,-1.1023199822712162,-0.617076,-1.10196,3
52,2070,-0.6177587318464237,-0.859280001832004,-0.61776,-0.858852,3
53,2100,-0.6184305659376079,-0.6162399960573192,-0.618432,-0.615756,3
54,2130,-0.6191024711393963,-0.3731999904537287,-0.619104,-0.372684,3
55,2160,-0.6197752059456001,-0.1301599867199617,-0.619776,-0.129624,3
56,2190,-0.6204584132533999,0.11287999368514617,-0.62046,0.1134156,3
57,2220,-0.6211304711076644,0.3559199988367384,-0.621132,0.356436,3
58,2250,-0.6218025896409147,0.5989600038087042,-0.621804,0.599436,3
59,2280,-0.6224753896403749,0.8420000072530354,-0.622476,0.842412,3
60,2310,-0.6231590044049711,1.0850399866777174,-0.62316,1.085376,3
61,2340,-0.62383140295889,1.3280799912280985,-0.623832,1.32828,3
62,2370,-0.6245035294003645,1.5711199961239415,-0.624504,1.57128,3
63,2400,-0.625176,1.81416,-0.625176,1.81416,3
64,2444,-0.480384,1.78428,-0.480384,1.78428,4
65,2474,-0.47971163638276815,1.5452400063134866,-0.479712,1.54536,4
66,2504,-0.47905127268412573,1.3061999857614994,-0.479052,1.30644,4
67,2534,-0.4783789517839913,1.0671599922851096,-0.47838,1.067508,4
68,2564,-0.4777067330267138,0.8281199983556189,-0.477708,0.82854,4
69,2594,-0.47703455422959007,0.5890800042239008,-0.477036,0.58956,4
70,2624,-0.4763632048316155,0.35004000819268266,-0.476364,0.350568,4
71,2654,-0.4757023481581126,0.11099998849337879,-0.475704,0.1115484,4
