n,t_s,x,y,pixel_clk,pixel_index,line_clk,line_index,frame_clk,pixel_valid_gate
0,0.0,0.84552,1.66584,0,-1,0,-1,1,0
1,0.001,0.842112,1.66656,0,-1,0,-1,0,0
2,0.002,0.838704,1.6674,0,-1,0,-1,0,0
3,0.003,0.835296,1.66812,0,-1,0,-1,0,0
4,0.004,0.831888,1.66896,0,-1,0,-1,0,0
5,0.005,0.828468,1.66968,0,-1,0,-1,0,0
6,0.006,0.825048,1.67052,0,-1,0,-1,0,0
7,0.007,0.821616,1.67124,0,-1,0,-1,0,0
8,0.008,0.818196,1.67208,0,-1,0,-1,0,0
9,0.009,0.814764,1.6728,0,-1,0,-1,0,0
10,0.01,0.811332,1.67364,0,-1,0,-1,0,0
11,0.011,0.807888,1.67436,0,-1,0,-1,0,0
12,0.012,0.804456,1.6752,0,-1,0,-1,0,0
13,0.013,0.801012,1.67592,0,-1,0,-1,0,0
14,0.014,0.797568,1.67676,0,-1,0,-1,0,0
15,0.015,0.794112,1.67748,0,-1,0,-1,0,0
16,0.016,0.790656,1.67832,0,-1,0,-1,0,0
17,0.017,0.7872,1.67904,0,-1,0,-1,0,0
18,0.018,0.783744,1.67988,0,-1,0,-1,0,0
19,0.019,0.780288,1.6806,0,-1,0,-1,0,0
20,0.02,0.77682,1.68144,0,-1,0,-1,0,0
21,0.021,0.773352,1.68228,0,-1,0,-1,0,0
22,0.022,0.769872,1.683,0,-1,0,-1,0,0
23,0.023,0.766404,1.68384,0,-1,0,-1,0,0
24,0.024,0.762924,1.68456,0,-1,0,-1,0,0
25,0.025,0.759444,1.6854,0,-1,0,-1,0,0
26,0.026,0.755952,1.68624,0,-1,0,-1,0,0
27,0.027,0.75246,1.68696,0,-1,0,-1,0,0
28,0.028,0.74898,1.6878,0,-1,0,-1,0,0
29,0.029,0.745476,1.68852,0,-1,0,-1,0,0
30,0.03,0.741984,1.68936,0,-1,0,-1,0,0
31,0.031,0.73848,1.6902,0,-1,0,-1,0,0
32,0.032,0.734976,1.69092,0,-1,0,-1,0,0
33,0.033,0.73146,1.69176,0,-1,0,-1,0,0
34,0.034,0.727956,1.6926,0,-1,0,-1,0,0
35,0.035,0.72444,1.69332,0,-1,0,-1,0,0
36,0.036,0.720924,1.69416,0,-1,0,-1,0,0
37,0.037,0.717396,1.695,0,-1,0,-1,0,0
38,0.038,0.713868,1.69572,0,-1,0,-1,0,0
39,0.039,0.71034,1.69656,0,-1,0,-1,0,0
40,0.04,0.706812,1.6974,0,-1,0,-1,0,0
41,0.041,0.703284,1.69812,0,-1,0,-1,0,0
42,0.042,0.699744,1.69896,0,-1,0,-1,0,0
43,0.043,0.696192,1.6998,0,-1,0,-1,0,0
44,0.044,0.692652,1.70064,0,-1,0,-1,0,0
45,0.045,0.6891,1.70136,0,-1,0,-1,0,0
46,0.046,0.685548,1.7022,0,-1,0,-1,0,0
47,0.047,0.681996,1.70304,0,-1,0,-1,0,0
48,0.048,0.678444,1.70376,0,-1,0,-1,0,0
49,0.049,0.67488,1.7046,0,-1,0,-1,0,0
50,0.05,0.671316,1.70544,0,-1,0,-1,0,0
51,0.051,0.66774,1.70628,0,-1,0,-1,0,0
52,0.052,0.664176,1.707,0,-1,0,-1,0,0
53,0.053,0.6606,1.70784,0,-1,0,-1,0,0
54,0.054,0.657012,1.70868,0,-1,0,-1,0,0
55,0.055,0.653436,1.70952,0,-1,0,-1,0,0
56,0.056,0.649848,1.71036,0,-1,0,-1,0,0
57,0.057,0.64626,1.71108,0,-1,0,-1,0,0
58,0.058,0.64266,1.71192,0,-1,0,-1,0,0
59,0.059,0.639072,1.71276,0,-1,0,-1,0,0
60,0.06,0.635472,1.7136,0,-1,0,-1,0,0
61,0.061,0.631872,1.71444,0,-1,0,-1,0,0
62,0.062,0.62826,1.71528,0,-1,0,-1,0,0
63,0.063,0.624648,1.716,0,-1,0,-1,0,0
64,0.064,0.621036,1.71684,0,-1,0,-1,0,0
65,0.065,0.617424,1.71768,0,-1,0,-1,0,0
66,0.066,0.6138,1.71852,0,-1,0,-1,0,0
67,0.067,0.610176,1.71936,0,-1,0,-1,0,0
68,0.068,0.606552,1.7202,0,-1,0,-1,0,0
69,0.069,0.602916,1.72104,0,-1,0,-1,0,0
70,0.07,0.59928,1.72176,0,-1,0,-1,0,0
71,0.071,0.595644,1.7226,0,-1,0,-1,0,0
72,0.072,0.592008,1.72344,0,-1,0,-1,0,0
73,0.073,0.58836,1.72428,0,-1,0,-1,0,0
74,0.074,0.584712,1.72512,0,-1,0,-1,0,0
75,0.075,0.581064,1.72596,0,-1,0,-1,0,0
76,0.076,0.577404,1.7268,0,-1,0,-1,0,0
77,0.077,0.573744,1.72764,0,-1,0,-1,0,0
78,0.078,0.570084,1.72848,0,-1,0,-1,0,0
79,0.079,0.566424,1.72932,0,-1,0,-1,0,0
80,0.08,0.562752,1.73016,0,-1,0,-1,0,0
81,0.081,0.55908,1.731,0,-1,0,-1,0,0
82,0.082,0.555396,1.73184,0,-1,0,-1,0,0
83,0.083,0.551724,1.73268,0,-1,0,-1,0,0
84,0.084,0.54804,1.73352,0,-1,0,-1,0,0
85,0.085,0.544356,1.73436,0,-1,0,-1,0,0
86,0.086,0.54066,1.7352,0,-1,0,-1,0,0
87,0.087,0.536964,1.73604,0,-1,0,-1,0,0
88,0.088,0.533268,1.73688,0,-1,0,-1,0,0
89,0.089,0.529572,1.73772,0,-1,0,-1,0,0
90,0.09,0.525864,1.73856,0,-1,0,-1,0,0
91,0.091,0.522156,1.7394,0,-1,0,-1,0,0
92,0.092,0.518436,1.74024,0,-1,0,-1,0,0
93,0.093,0.514728,1.74108,0,-1,0,-1,0,0
94,0.094,0.511008,1.74192,0,-1,0,-1,0,0
95,0.095,0.507288,1.74276,0,-1,0,-1,0,0
96,0.096,0.503556,1.7436,0,-1,0,-1,0,0
97,0.097,0.499824,1.74444,0,-1,0,-1,0,0
98,0.098,0.496092,1.74528,0,-1,0,-1,0,0
99,0.099,0.49236,1.74612,0,-1,0,-1,0,0
100,0.1,0.488616,1.74696,0,-1,0,-1,0,0
101,0.101,0.484872,1.7478,0,-1,0,-1,0,0
102,0.102,0.481116,1.74864,0,-1,0,-1,0,0
103,0.103,0.477372,1.74948,0,-1,0,-1,0,0
104,0.104,0.473616,1.75044,0,-1,0,-1,0,0
105,0.105,0.469848,1.75128,0,-1,0,-1,0,0
106,0.106,0.466092,1.75212,0,-1,0,-1,0,0
107,0.107,0.462324,1.75296,0,-1,0,-1,0,0
108,0.108,0.458556,1.7538,0,-1,0,-1,0,0
109,0.109,0.454776,1.75464,0,-1,0,-1,0,0
110,0.11,0.450996,1.75548,0,-1,0,-1,0,0
111,0.111,0.447216,1.75644,0,-1,0,-1,0,0
112,0.112,0.443436,1.75728,0,-1,0,-1,0,0
113,0.113,0.439644,1.75812,0,-1,0,-1,0,0
114,0.114,0.435852,1.75896,0,-1,0,-1,0,0
115,0.115,0.43206,1.7598,0,-1,0,-1,0,0
116,0.116,0.428256,1.76076,0,-1,0,-1,0,0
117,0.117,0.424452,1.7616,0,-1,0,-1,0,0
118,0.118,0.420648,1.76244,0,-1,0,-1,0,0
119,0.119,0.416832,1.76328,0,-1,0,-1,0,0
120,0.12,0.413016,1.76412,0,-1,0,-1,0,0
121,0.121,0.4092,1.76508,0,-1,0,-1,0,0
122,0.122,0.405372,1.76592,0,-1,0,-1,0,0
123,0.123,0.401556,1.76676,0,-1,0,-1,0,0
124,0.124,0.397716,1.7676,0,-1,0,-1,0,0
125,0.125,0.393888,1.76856,0,-1,0,-1,0,0
126,0.126,0.390048,1.7694,0,-1,0,-1,0,0
127,0.127,0.386208,1.77024,0,-1,0,-1,0,0
128,0.128,0.382368,1.77108,0,-1,0,-1,0,0
129,0.129,0.378516,1.77204,0,-1,0,-1,0,0
130,0.13,0.374664,1.77288,0,-1,0,-1,0,0
131,0.131,0.3708,1.77372,0,-1,0,-1,0,0
132,0.132,0.366948,1.77468,0,-1,0,-1,0,0
133,0.133,0.363084,1.77552,0,-1,0,-1,0,0
134,0.134,0.359208,1.77636,0,-1,0,-1,0,0
135,0.135,0.355344,1.77732,0,-1,0,-1,0,0
136,0.136,0.351468,1.77816,0,-1,0,-1,0,0
137,0.137,0.34758,1.779,0,-1,0,-1,0,0
138,0.138,0.343704,1.77996,0,-1,0,-1,0,0
139,0.139,0.339816,1.7808,0,-1,0,-1,0,0
140,0.14,0.335916,1.78164,0,-1,0,-1,0,0
141,0.141,0.332028,1.7826,0,-1,0,-1,0,0
142,0.142,0.328128,1.78344,0,-1,0,-1,0,0
143,0.143,0.324228,1.7844,0,-1,0,-1,0,0
144,0.144,0.320316,1.78524,0,-1,0,-1,0,0
145,0.145,0.316404,1.78608,0,-1,0,-1,0,0
146,0.146,0.312492,1.78704,0,-1,0,-1,0,0
147,0.147,0.308568,1.78788,0,-1,0,-1,0,0
148,0.148,0.304656,1.78884,0,-1,0,-1,0,0
149,0.149,0.30072,1.78968,0,-1,0,-1,0,0
150,0.15,0.296796,1.79064,0,-1,0,-1,0,0
151,0.151,0.29286,1.79148,0,-1,0,-1,0,0
152,0.152,0.288924,1.79244,0,-1,0,-1,0,0
153,0.153,0.284976,1.79328,0,-1,0,-1,0,0
154,0.154,0.281028,1.79412,0,-1,0,-1,0,0
