pixel_index,sample_n,t_s,x,y,line_index,is_line_start
0,468,0.468,-1.090176,1.91004,0,1
1,498,0.498,-1.089492,1.65432,0,0
2,528,0.528,-1.088796,1.39848,0,0
3,558,0.558,-1.088112,1.142748,0,0
4,588,0.588,-1.087416,0.886944,0,0
5,618,0.618,-1.08672,0.631128,0,0
6,648,0.648,-1.086036,0.375276,0,0
7,678,0.678,-1.08534,0.119412,0,0
8,708,0.708,-1.084656,-0.136476,0,0
9,738,0.738,-1.08396,-0.392388,0,0
10,768,0.768,-1.083264,-0.648312,0,0
11,798,0.798,-1.08258,-0.904272,0,0
12,828,0.828,-1.081884,-1.160244,0,0
13,858,0.858,-1.0812,-1.41624,0,0
14,888,0.888,-1.080504,-1.6722,0,0
15,918,0.918,-1.079808,-1.92828,0,0
16,962,0.962,-0.919524,-1.89492,1,1
17,991,0.991,-0.920184,-1.65168,1,0
18,1020,1.02,-0.920856,-1.40844,1,0
19,1049,1.049,-0.921516,-1.165296,1,0
20,1078,1.078,-0.922176,-0.92214,1,0
21,1107,1.107,-0.922836,-0.679008,1,0
22,1136,1.136,-0.923508,-0.435888,1,0
23,1165,1.165,-0.924168,-0.192792,1,0
24,1194,1.194,-0.924828,0.0502908,1,0
25,1223,1.223,-0.925488,0.293352,1,0
26,1252,1.252,-0.92616,0.536388,1,0
27,1281,1.281,-0.92682,0.779412,1,0
28,1310,1.31,-0.92748,1.022412,1,0
29,1339,1.339,-0.92814,1.2654,1,0
30,1368,1.368,-0.928812,1.5084,1,0
31,1397,1.397,-0.929472,1.75128,1,0
32,1456,1.456,-0.7749,1.845,2,1
33,1484,1.484,-0.774264,1.61448,2,0
34,1512,1.512,-0.77364,1.38384,2,0
35,1540,1.54,-0.773004,1.15326,2,0
36,1568,1.568,-0.772368,0.922644,2,0
37,1596,1.596,-0.771732,0.692016,2,0
38,1624,1.624,-0.771096,0.461352,2,0
39,1652,1.652,-0.77046,0.230688,2,0
40,1680,1.68,-0.769824,0.0,2,0
41,1708,1.708,-0.769188,-0.2307,2,0
42,1736,1.736,-0.768552,-0.461424,2,0
43,1764,1.764,-0.767916,-0.692172,2,0
44,1792,1.792,-0.76728,-0.92292,2,0
45,1820,1.82,-0.766644,-1.153704,2,0
46,1848,1.848,-0.766008,-1.38444,2,0
47,1876,1.876,-0.765384,-1.61532,2,0
48,1950,1.95,-0.61506,-1.83144,3,1
49,1977,1.977,-0.61566,-1.61256,3,0
50,2004,2.004,-0.616272,-1.39368,3,0
51,2031,2.031,-0.616884,-1.174908,3,0
52,2058,2.058,-0.617484,-0.9561,3,0
53,2085,2.085,-0.618096,-0.737304,3,0
54,2112,2.112,-0.618696,-0.51852,3,0
55,2139,2.139,-0.619308,-0.29976,3,0
56,2166,2.166,-0.61992,-0.0810132,3,0
57,2193,2.193,-0.62052,0.137712,3,0
58,2220,2.22,-0.621132,0.356436,3,0
59,2247,2.247,-0.621744,0.575136,3,0
60,2274,2.274,-0.622344,0.793812,3,0
61,2301,2.301,-0.622956,1.012488,3,0
62,2328,2.328,-0.623556,1.23108,3,0
63,2355,2.355,-0.624168,1.44972,3,0
64,2444,2.444,-0.480384,1.78428,4,1
65,2470,2.47,-0.479808,1.57728,4,0
66,2496,2.496,-0.47922,1.37016,4,0
67,2522,2.522,-0.478644,1.163088,4,0
68,2548,2.548,-0.478068,0.955992,4,0
69,2574,2.574,-0.47748,0.748884,4,0
70,2600,2.6,-0.476904,0.541764,4,0
71,2626,2.626,-0.476328,0.334632,4,0
72,2652,2.652,-0.47574,0.127488,4,0
73,2678,2.678,-0.475164,-0.07968,4,0
74,2704,2.704,-0.474588,-0.28686,4,0
75,2730,2.73,-0.474,-0.494052,4,0
76,2756,2.756,-0.473424,-0.701256,4,0
77,2782,2.782,-0.472848,-0.908472,4,0
78,2808,2.808,-0.47226,-1.1157,4,0
79,2834,2.834,-0.471684,-1.323,4,0
80,2938,2.938,-0.330324,-1.77204,5,1
81,2963,2.963,-0.330876,-1.57596,5,0
82,2988,2.988,-0.331428,-1.37988,5,0
83,3013,3.013,-0.33198,-1.183884,5,0
84,3038,3.038,-0.332532,-0.98784,5,0
85,3063,3.063,-0.333084,-0.79182,5,0
86,3088,3.088,-0.333636,-0.5958,5,0
87,3113,3.113,-0.3342,-0.399804,5,0
88,3138,3.138,-0.334752,-0.20382,5,0
89,3163,3.163,-0.335304,-0.00783876,5,0
90,3188,3.188,-0.335856,0.188124,5,0
91,3213,3.213,-0.336408,0.384072,5,0
92,3238,3.238,-0.33696,0.58002,5,0
93,3263,3.263,-0.337512,0.775944,5,0
94,3288,3.288,-0.338064,0.971856,5,0
95,3313,3.313,-0.338616,1.167756,5,0
96,3432,3.432,-0.204636,1.7274,6,1
97,3456,3.456,-0.204108,1.54236,6,0
98,3480,3.48,-0.203592,1.35732,6,0
99,3504,3.504,-0.203064,1.17228,6,0
100,3528,3.528,-0.202536,0.987216,6,0
101,3552,3.552,-0.202008,0.802128,6,0
102,3576,3.576,-0.20148,0.61704,6,0
103,3600,3.6,-0.200952,0.43194,6,0
104,3624,3.624,-0.200424,0.246828,6,0
105,3648,3.648,-0.199896,0.06171,6,0
106,3672,3.672,-0.199368,-0.12342,6,0
107,3696,3.696,-0.19884,-0.308568,6,0
108,3720,3.72,-0.198324,-0.493728,6,0
109,3744,3.744,-0.197796,-0.678888,6,0
110,3768,3.768,-0.197268,-0.864072,6,0
111,3792,3.792,-0.19674,-1.049256,6,0
112,3926,3.926,-0.0634572,-1.71648,7,1
113,3949,3.949,-0.0639588,-1.54176,7,0
114,3972,3.972,-0.0644592,-1.36704,7,0
115,3995,3.995,-0.0649608,-1.192308,7,0
116,4018,4.018,-0.0654612,-1.0176,7,0
117,4041,4.041,-0.0659616,-0.842916,7,0
118,4064,4.064,-0.0664632,-0.668244,7,0
119,4087,4.087,-0.0669636,-0.493572,7,0
120,4110,4.11,-0.0674652,-0.318912,7,0
121,4133,4.133,-0.0679656,-0.144264,7,0
122,4156,4.156,-0.068466,0.0303708,7,0
123,4179,4.179,-0.0689664,0.204996,7,0
124,4202,4.202,-0.069468,0.37962,7,0
125,4225,4.225,-0.0699684,0.55422,7,0
126,4248,4.248,-0.0704688,0.72882,7,0
127,4271,4.271,-0.0709692,0.903408,7,0
128,4420,4.42,0.054072,1.674,8,1
129,4442,4.442,0.0545472,1.50972,8,0
130,4464,4.464,0.0550224,1.34532,8,0
131,4486,4.486,0.0554964,1.180908,8,0
132,4508,4.508,0.0559716,1.016496,8,0
133,4530,4.53,0.0564468,0.852096,8,0
134,4552,4.552,0.0569208,0.687672,8,0
135,4574,4.574,0.057396,0.523236,8,0
136,4596,4.596,0.0578712,0.3588,8,0
137,4618,4.618,0.0583464,0.194352,8,0
138,4640,4.64,0.0588216,0.0299016,8,0
139,4662,4.662,0.0592956,-0.134568,8,0
140,4684,4.684,0.0597708,-0.29904,8,0
141,4706,4.706,0.060246,-0.463512,8,0
142,4728,4.728,0.0607212,-0.628008,8,0
143,4750,4.75,0.0611964,-0.792504,8,0
144,4914,4.914,0.187164,-1.66416,9,1
145,4935,4.935,0.186708,-1.5096,9,0
146,4956,4.956,0.186264,-1.35492,9,0
147,4977,4.977,0.185808,-1.20024,9,0
148,4998,4.998,0.185364,-1.045548,9,0
149,5019,5.019,0.184908,-0.890904,9,0
150,5040,5.04,0.184464,-0.736272,9,0
