pixel_index,sample_n,t_s,x,y,line_index,is_line_start
0,468,0.468,1.0,-0.905930470347648,0,1
1,498,0.498,1.0,-0.783231083844581,0,0
2,528,0.528,1.0,-0.660531697341513,0,0
3,558,0.558,1.0,-0.537832310838446,0,0
4,588,0.588,1.0,-0.415132924335378,0,0
5,618,0.618,1.0,-0.292433537832311,0,0
6,648,0.648,1.0,-0.169734151329243,0,0
7,678,0.678,1.0,-0.0470347648261759,0,0
8,708,0.708,1.0,0.0756646216768917,0,0
9,738,0.738,1.0,0.198364008179959,0,0
10,768,0.768,1.0,0.321063394683027,0,0
11,798,0.798,1.0,0.443762781186094,0,0
12,828,0.828,1.0,0.566462167689161,0,0
13,858,0.858,1.0,0.689161554192229,0,0
14,888,0.888,1.0,0.811860940695297,0,0
15,918,0.918,1.0,0.934560327198364,0,0
16,962,0.962,0.866666666666667,0.934560327198364,1,1
17,992,0.992,0.866666666666667,0.811860940695297,1,0
18,1022,1.022,0.866666666666667,0.689161554192229,1,0
19,1052,1.052,0.866666666666667,0.566462167689161,1,0
20,1082,1.082,0.866666666666667,0.443762781186094,1,0
21,1112,1.112,0.866666666666667,0.321063394683027,1,0
22,1142,1.142,0.866666666666667,0.198364008179959,1,0
23,1172,1.172,0.866666666666667,0.0756646216768917,1,0
24,1202,1.202,0.866666666666667,-0.0470347648261759,1,0
25,1232,1.232,0.866666666666667,-0.169734151329243,1,0
26,1262,1.262,0.866666666666667,-0.292433537832311,1,0
27,1292,1.292,0.866666666666667,-0.415132924335378,1,0
28,1322,1.322,0.866666666666667,-0.537832310838446,1,0
29,1352,1.352,0.866666666666667,-0.660531697341513,1,0
30,1382,1.382,0.866666666666667,-0.783231083844581,1,0
31,1412,1.412,0.866666666666667,-0.905930470347648,1,0
32,1456,1.456,0.733333333333333,-0.905930470347648,2,1
33,1486,1.486,0.733333333333333,-0.783231083844581,2,0
34,1516,1.516,0.733333333333333,-0.660531697341513,2,0
35,1546,1.546,0.733333333333333,-0.537832310838446,2,0
36,1576,1.576,0.733333333333333,-0.415132924335378,2,0
37,1606,1.606,0.733333333333333,-0.292433537832311,2,0
38,1636,1.636,0.733333333333333,-0.169734151329243,2,0
39,1666,1.666,0.733333333333333,-0.0470347648261759,2,0
40,1696,1.696,0.733333333333333,0.0756646216768917,2,0
41,1726,1.726,0.733333333333333,0.198364008179959,2,0
42,1756,1.756,0.733333333333333,0.321063394683027,2,0
43,1786,1.786,0.733333333333333,0.443762781186094,2,0
44,1816,1.816,0.733333333333333,0.566462167689161,2,0
45,1846,1.846,0.733333333333333,0.689161554192229,2,0
46,1876,1.876,0.733333333333333,0.811860940695297,2,0
47,1906,1.906,0.733333333333333,0.934560327198364,2,0
48,1950,1.95,0.6,0.934560327198364,3,1
49,1980,1.98,0.6,0.811860940695297,3,0
50,2010,2.01,0.6,0.689161554192229,3,0
51,2040,2.04,0.6,0.566462167689161,3,0
52,2070,2.07,0.6,0.443762781186094,3,0
53,2100,2.1,0.6,0.321063394683027,3,0
54,2130,2.13,0.6,0.198364008179959,3,0
55,2160,2.16,0.6,0.0756646216768917,3,0
56,2190,2.19,0.6,-0.0470347648261759,3,0
57,2220,2.22,0.6,-0.169734151329243,3,0
58,2250,2.25,0.6,-0.292433537832311,3,0
59,2280,2.28,0.6,-0.415132924335378,3,0
60,2310,2.31,0.6,-0.537832310838446,3,0
61,2340,2.34,0.6,-0.660531697341513,3,0
62,2370,2.37,0.6,-0.783231083844581,3,0
63,2400,2.4,0.6,-0.905930470347648,3,0
64,2444,2.444,0.466666666666667,-0.905930470347648,4,1
65,2474,2.474,0.466666666666667,-0.783231083844581,4,0
66,2504,2.504,0.466666666666667,-0.660531697341513,4,0
67,2534,2.534,0.466666666666667,-0.537832310838446,4,0
